timestamp,step,buffer_count,breaker_state,msgs_processed,bytes_in,bytes_out,ratio
1775329164.0457008,Normal,0,CLOSED,462,84273,4695,0.055711793812965
1775329166.0498202,Normal,0,CLOSED,649,118326,6591,0.05570204350692155
1775329168.053862,Normal,0,CLOSED,856,156078,8688,0.0556644754545804
1775329170.0559871,Normal,0,CLOSED,1043,190176,10582,0.05564319367322901
1775329172.0580323,Normal,0,CLOSED,1242,226459,12590,0.05559505252606432
1775329174.0607667,Normal,0,CLOSED,1449,264193,14687,0.055591934684113505
1775329176.065566,Normal,0,CLOSED,1635,298104,16583,0.05562823712529855
1775329178.068384,Normal,0,CLOSED,1833,334214,18583,0.055602099253771534
1775329180.0713327,Normal,0,CLOSED,2039,371774,20673,0.05560636300548182
1775329182.0750146,Normal,0,CLOSED,2226,405863,22578,0.05562960900599463
1775329184.078354,Normal,0,CLOSED,2423,441786,24578,0.055633270406939106
1775329186.080664,Normal,0,CLOSED,2629,479351,26678,0.055654416075068165
1775329188.0827909,Normal,0,CLOSED,2817,513622,28576,0.05563624611095319
1775329190.0844843,Normal,0,CLOSED,3014,549545,30576,0.05563875569789553
1775329192.0870676,Normal,0,CLOSED,3220,587110,32680,0.05566248232869479
1775329194.0935903,Outage,0,CLOSED,3408,621381,34573,0.05563897190290659
1775329196.0957325,Outage,20,OPEN,3418,623251,34675,0.055635690917463426
1775329198.099207,Outage,40,OPEN,3418,623251,34675,0.055635690917463426
1775329200.1024396,Outage,59,OPEN,3418,623251,34675,0.055635690917463426
1775329202.1062984,Outage,77,OPEN,3418,623251,34675,0.055635690917463426
1775329204.1081302,Outage,98,OPEN,3418,623251,34675,0.055635690917463426
1775329206.1113443,Outage,117,OPEN,3418,623251,34675,0.055635690917463426
1775329208.1131704,Outage,137,OPEN,3418,623251,34675,0.055635690917463426
1775329210.1176414,Outage,155,HALF_OPEN,3418,623251,34675,0.055635690917463426
1775329212.119248,Outage,176,OPEN,3418,623251,34675,0.055635690917463426
1775329214.122311,Outage,194,OPEN,3418,623251,34675,0.055635690917463426
1775329216.1237369,Outage,215,OPEN,3418,623251,34675,0.055635690917463426
1775329218.126361,Outage,233,OPEN,3418,623251,34675,0.055635690917463426
1775329220.128287,Outage,254,OPEN,3418,623251,34675,0.055635690917463426
1775329222.130074,Outage,272,OPEN,3418,623251,34675,0.055635690917463426
1775329224.1335166,Recovery,293,OPEN,3418,623251,34675,0.055635690917463426
1775329226.1351671,Recovery,305,CLOSED,3478,634191,35277,0.05562519808701164
1775329228.1375256,Recovery,305,CLOSED,3684,671747,37377,0.055641484070639693
1775329230.1392334,Recovery,295,CLOSED,3861,704020,39171,0.055639044345331096
1775329232.1410708,Recovery,295,CLOSED,4066,741403,41270,0.05566473294551007
1775329234.1432705,Recovery,295,CLOSED,4273,779137,43365,0.055657734134048314
1775329236.1447096,Recovery,295,CLOSED,4461,813462,45270,0.055651032254733473
1775329238.1462767,Recovery,295,CLOSED,4657,849162,47264,0.055659579679731314
1775329240.148674,Recovery,285,CLOSED,4863,886718,49357,0.05566256690402135
1775329242.1500823,Recovery,285,CLOSED,5051,921039,51265,0.0556599666246489
1775329244.1524818,Recovery,285,CLOSED,5247,956734,53258,0.05566646528711219
1775329246.1542704,Recovery,285,CLOSED,5454,994477,55362,0.05566946244106199
1775329248.157939,Recovery,285,CLOSED,5631,1026750,57156,0.05566691015339664
1775329250.1610425,Recovery,275,CLOSED,5838,1064489,59256,0.055666145916021675
1775329252.1631143,Recovery,275,CLOSED,6036,1100625,61251,0.0556511073253833
1775329254.16463,Recovery,275,CLOSED,6224,1134865,63159,0.055653315592603524
1775329256.1663961,Recovery,275,CLOSED,6429,1172248,65250,0.05566228306638186
1775329258.1684277,Recovery,275,CLOSED,6635,1209804,67344,0.05566521519188232
1775329260.1703207,Recovery,265,CLOSED,6823,1244125,69252,0.055663217120466194
1775329262.1719265,Recovery,265,CLOSED,7019,1279820,71245,0.055667984560328794
1775329264.1735675,Recovery,265,CLOSED,7216,1315783,73250,0.05567027389774758
1775329266.176176,Recovery,265,CLOSED,7403,1349836,75142,0.0556675033115134
1775329268.179353,Recovery,265,CLOSED,7610,1387579,77243,0.055667461095908775
1775329270.1827266,Recovery,255,CLOSED,7817,1425322,79349,0.05567092909532022
1775329272.1847265,Recovery,255,CLOSED,8004,1459465,81251,0.05567177013494671
1775329274.1867032,Recovery,255,CLOSED,8200,1495156,83248,0.05567847100904521
1775329276.1883564,Recovery,255,CLOSED,8406,1532717,85341,0.05567955467317189
1775329278.1921773,Recovery,255,CLOSED,8594,1567042,87243,0.05567368328353675
1775329280.1943114,Recovery,245,CLOSED,8792,1603097,89244,0.05566974425128361
1775329282.196166,Recovery,245,CLOSED,8999,1640840,91341,0.0556672192291753
